feature,importance
num__duration_hours,0.11155993571369119
num__advance_days,0.10841895017841453
num__avg_temp,0.09872801336758733
num__budget_category,0.06464531514845917
num__has_online_stream,0.02723137378012799
num__partner_involvement,0.025957707712444992
cat__season_зима,0.024788707624811397
cat__season_лето,0.02363400082632382
cat__day_of_week_вторник,0.021589608003408617
cat__theme_народы Поволжья,0.021335965667241427
cat__event_type_концерт,0.021022967297664643
cat__theme_Сибири,0.020181766160466356
cat__season_осень,0.02008585073009112
cat__theme_Севера,0.02003127504397374
cat__day_of_week_понедельник,0.01970575661657227
cat__theme_Центральной России,0.019416369198657555
cat__theme_Кавказа,0.019410407368448235
cat__event_type_фестиваль,0.019367406768730343
cat__event_type_лекция,0.019348205977648546
cat__duration_bin_4-6,0.019226784518492388
